,hyb_index,BaselineName,Hybrid,MarketName,PipelineProductStageName,TraitName,Location,num_sres,season,seed_target,y_predicted_class,y_predicted,seed_target_class,TPD_RECOMMENDATION,num_plots_optimized,metst_optimized,num_plots_optimized_half,seed_production_optimized,Recomendacao_Planejamento
0,1,B001,H001,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1408,1,24,22.0,1.0,11.0,27195.300000000003,24
1,2,B002,H002,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1005,1,24,30.0,1.0,15.0,53431.2,24
2,3,B003,H003,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1448,2,24,16.0,1.0,8.0,26941.92,24
3,4,B004,H004,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1369,1,24,14.0,1.0,7.0,26415.48,24
4,5,B005,H005,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1534,1,24,12.0,1.0,6.0,26390.879999999997,24
5,6,B006,H006,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1788,1,24,30.0,1.0,15.0,51180.3,24
6,7,B007,H007,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1387,2,24,18.0,1.0,9.0,27652.86,24
7,8,B008,H008,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1249,1,24,24.0,1.0,12.0,51276.23999999999,24
8,9,B009,H009,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1737,2,24,34.0,1.0,17.0,52275.0,24
9,10,B010,H010,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1250,2,24,30.0,1.0,15.0,53910.9,24
10,11,B011,H011,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1461,2,24,14.0,1.0,7.0,27517.559999999998,24
11,12,B012,H012,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1598,1,24,30.0,1.0,15.0,53726.399999999994,24
12,13,B013,H013,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1456,2,24,26.0,1.0,13.0,54877.67999999999,24
13,14,B014,H014,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1716,2,24,14.0,1.0,7.0,28258.02,24
14,15,B015,H015,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1641,1,24,36.0,1.0,18.0,52427.52,24
15,16,B016,H016,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1184,2,24,14.0,1.0,7.0,26002.2,24
16,17,B017,H017,Summer,PS3,V4,PEPT,0,2022_04,10220,<1900,1510,1,24,24.0,1.0,12.0,51010.56,24
17,18,B018,H018,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1728,2,24,24.0,1.0,12.0,52191.36,24
18,19,B019,H019,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1768,2,24,32.0,1.0,16.0,52073.28,24
19,20,B020,H020,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1323,2,24,16.0,1.0,8.0,26135.04,24
20,21,B021,H021,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1328,1,24,16.0,1.0,8.0,27315.84,24
21,22,B022,H022,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1388,1,24,26.0,1.0,13.0,54142.14,24
22,23,B023,H023,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1693,2,24,30.0,1.0,15.0,53837.1,24
23,24,B024,H024,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1459,2,24,12.0,1.0,6.0,25770.96,24
24,25,B025,H025,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1746,1,24,12.0,1.0,6.0,29992.32,24
25,26,B026,H026,Summer,PS3,V4,PEPT,0,2022_04,10220,>1900,2032,1,24,28.0,1.0,14.0,52693.2,24
26,27,B027,H027,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1530,2,24,22.0,1.0,11.0,55608.3,24
27,28,B028,H028,Safrinha,PS3,V4,PEPT,0,2022_04,20376,>1900,2055,2,24,30.0,1.0,15.0,54427.5,24
28,29,B029,H029,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1475,2,24,28.0,1.0,14.0,54070.799999999996,24
29,30,B030,H030,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1570,2,24,18.0,1.0,9.0,25682.399999999998,24
30,31,B031,H031,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1160,1,24,14.0,1.0,7.0,28860.72,24
31,32,B032,H032,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1676,1,24,14.0,1.0,7.0,26381.039999999997,24
32,33,B033,H033,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1532,1,24,34.0,1.0,17.0,53487.78,24
33,34,B034,H034,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1279,2,24,28.0,1.0,14.0,52865.4,24
34,35,B035,H035,Summer,PS3,V4,PEPT,0,2022_04,20376,<1900,1535,2,24,30.0,1.0,15.0,53578.8,24
35,36,B036,H036,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1452,2,24,30.0,1.0,15.0,53172.9,24
36,37,B037,H037,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1500,1441,2,24,18.0,1.0,9.0,26568.0,24
37,38,B038,H038,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1200,1,24,24.0,1.0,12.0,51955.200000000004,24
38,39,B039,H039,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1760,2,24,30.0,1.0,15.0,54169.2,24
39,40,B040,H040,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1468,2,24,14.0,1.0,7.0,27138.72,24
40,41,B041,H041,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1900,1576,1,24,20.0,1.0,10.0,25879.2,24
41,42,B042,H042,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1052,1,24,26.0,1.0,13.0,52798.98,24
42,43,B043,H043,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1900,1651,2,24,26.0,1.0,13.0,53118.78,24
43,44,B044,H044,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1661,2,24,18.0,1.0,9.0,26280.18,24
44,45,B045,H045,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,<1500,1187,1,24,16.0,1.0,8.0,27374.88,24
45,46,B046,H046,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1391,1,24,12.0,1.0,6.0,25726.68,24
46,47,B047,H047,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1900,1743,1,24,28.0,1.0,14.0,54828.48,24
47,48,B048,H048,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1592,2,24,12.0,1.0,6.0,29549.52,24
48,49,B049,H049,Safrinha,PS3,CONV,PEPT,0,2022_04,10220,>1900,2002,1,24,34.0,1.0,17.0,53153.22,24
49,50,B050,H050,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1271,2,24,30.0,1.0,15.0,52619.4,24
50,51,B051,H051,Summer,PS3,CONV,PEPT,0,2022_04,20376,<1500,1426,2,24,30.0,1.0,15.0,51106.5,24
51,52,B052,H052,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1500,1385,2,24,12.0,1.0,6.0,30258.0,24
52,53,B053,H053,Safrinha,PS3,V4,PEPT,0,2022_04,10220,>1900,2050,1,24,16.0,1.0,8.0,28673.76,24
53,54,B054,H054,Safrinha,PS3,V4,PEPT,0,2022_04,10220,<1500,1457,1,24,16.0,1.0,8.0,26312.16,24
54,55,B055,H055,Summer,PS3,V4,PEPT,0,2022_04,10220,<1500,1337,1,24,34.0,1.0,17.0,51689.52,24
55,56,B056,H056,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1236,2,24,20.0,1.0,10.0,27650.4,24
56,57,B057,H057,Summer,PS3,CONV,PEPT,0,2022_04,10220,<1500,1124,1,24,34.0,1.0,17.0,53655.06,24
57,58,B058,H058,Summer,PS3,V4,PEPT,0,2022_04,20376,<1500,1283,2,24,24.0,1.0,12.0,51541.92,24
58,59,B059,H059,Safrinha,PS3,V4,PEPT,0,2022_04,20376,<1900,1746,2,24,26.0,1.0,13.0,51104.04,24
59,60,B060,H060,Safrinha,PS3,CONV,PEPT,0,2022_04,20376,<1900,1598,2,24,14.0,1.0,7.0,28654.08,24
